suburb,temp,pressure,humidity,forecast_22Nov,condition_22Nov,forecast_23Nov,condition_23Nov,forecast_23Nov.1,condition_23Nov.1,forecast_24Nov,condition_24Nov,forecast_25Nov,condition_25Nov,suburb_id
Burwood,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10093
Burwood Heights,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10094
Busby,24.12,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10095
Cabarita,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10096
Cabramatta,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10097
Cabramatta West,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10098
Caddens,24.12,1012,51,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds,10099
Cambridge Gardens,24.12,1012,51,32.84,Clouds,28.69,Clouds,23.72,Clouds,29.8,Clouds,26.12,Clouds,10100
Cambridge Park,24.12,1012,51,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds,10101
Camden,24.25,1013,82,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds,10102
Camden South,24.25,1013,82,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds,10103
Camellia,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10104
Cammeray,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10105
Campbelltown,24.2,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10106
Camperdown,14.58,1015,67,19.41,Clouds,16.19,Rain,20.47,Clouds,22.03,Clouds,14.13,Rain,10107
Campsie,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10108
Canada Bay,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10109
Canley Heights,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10110
Canley Vale,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10111
Canoelands,24.12,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10112
Canterbury,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10113
Caringbah,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10114
Caringbah South,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10115
Carlingford,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10116
Carlton,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10117
Carnes Hill,24.12,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10118
Carramar,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10119
Carss Park,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10120
Cartwright,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10121
Castle Cove,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10122
Castle Hill,24.13,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10123
Castlecrag,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10124
Castlereagh,24.12,1012,51,32.84,Clouds,28.69,Clouds,23.72,Clouds,29.8,Clouds,26.12,Clouds,10125
Casula,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10126
Catherine Field,24.2,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10127
Cattai,24.12,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10128
Cawdor,24.25,1013,82,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds,10129
Cecil Hills,24.12,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10130
Cecil Park,24.12,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10131
Centennial Park,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10132
Chatswood,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10133
Chatswood West,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10134
Cheltenham,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10135
Cherrybrook,24.13,1013,82,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10136
Chester Hill,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10137
Chifley,30.05,1013,19,33.56,Clouds,26.64,Clear,25.08,Clear,26.73,Clear,22.01,Clouds,10138
Chippendale,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10139
Chipping Norton,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10140
Chiswick,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10141
Chullora,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10142
Church Point,24.28,1012,51,23.34,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25.0,Clouds,10143
Claremont Meadows,24.12,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10144
Clarendon,24.12,1012,51,29.0,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds,10145
Clareville,24.28,1012,51,23.34,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25.0,Clouds,10146
Claymore,24.2,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10147
Clemton Park,24.29,1012,51,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10148
Clontarf,24.29,1012,51,22.9,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10149
Clovelly,24.29,1012,51,22.9,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds,10150
Clyde,24.13,1013,82,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds,10151
