"State/Territory",Postcode2,"Individuals 2003–04 no.","Median3 taxable income 2003–04 $","Average3 taxable income 2003–04 $","Individuals 2013–14 no.","Median3 taxable income 2013–14 $","Average3 taxable income 2013–14 $","Individuals 2014–15 no.","Median3 taxable income 2014–15 $","Average3 taxable income 2014–15 $","Individuals 2015–16 no.","Median3 taxable income 2015–16 $","Average3 taxable income 2015–16 $","Individuals 2016–17no.","Median3 taxable income 2016–17$","Average3 taxable income 2016–17$"
SA ,5051,"8,868","30,771","35,157","8,960","45,849","55,794","9,050","46,370","56,637","9,129","47,715","57,759","9,162","49,187","59,625",
SA ,5052,"4,515","31,188","37,890","4,154","45,970","59,113","4,032","46,606","60,325","4,121","47,018","61,948","4,148","47,823","61,514",
SA ,5061,"6,901","36,170","53,411","6,709","50,566","89,739","6,610","53,239","89,856","6,581","54,548","93,912","6,587","55,421","93,871",
SA ,5062,"9,860","33,399","46,134","9,856","47,964","73,334","9,754","48,842","74,893","9,708","49,653","74,274","9,776","49,529","74,550",
SA ,5063,"7,320","33,497","40,524","7,548","47,558","66,690","7,604","47,924","65,610","7,566","49,533","67,313","7,603","50,591","68,387",
SA ,5064,"6,514","35,280","51,235","6,379","48,791","77,502","6,397","49,182","79,882","6,377","48,561","78,519","6,512","49,380","79,552",
SA ,5065,"6,766","35,005","47,090","6,568","47,542","79,373","6,613","48,114","77,137","6,600","48,730","77,006","6,585","49,195","77,310",
SA ,5066,"8,260","35,351","51,308","7,975","51,170","83,056","7,995","51,405","81,446","8,041","52,316","80,960","8,116","50,989","79,145",
SA ,5067,"6,545","34,112","44,029","6,641","48,293","67,890","6,626","47,826","70,130","6,498","50,151","72,594","6,601","50,655","75,339",
SA ,5068,"7,318","32,353","42,282","7,606","46,449","71,883","7,544","47,188","71,669","7,508","46,508","71,665","7,750","47,596","72,335",
SA ,5069,"5,261","34,856","45,119","5,295","49,436","80,523","5,367","49,588","74,462","5,420","50,462","79,024","5,370","51,398","81,058",
SA ,5070,"7,562","29,734","36,115","8,101","42,496","53,684","8,016","43,087","55,042","8,285","42,951","55,159","8,398","42,883","54,829",
SA ,5072,"7,347","31,038","37,920","7,501","44,791","59,005","7,455","45,168","60,429","7,502","45,153","61,119","7,623","46,214","61,244",
SA ,5073,"8,058","28,167","32,841","8,626","41,671","51,933","8,623","41,615","51,895","8,765","42,229","52,813","8,972","42,744","53,467",
SA ,5074,"6,329","26,763","29,977","6,892","39,698","45,965","6,872","40,917","46,819","6,903","40,284","47,450","7,045","40,900","48,149",
SA ,5075,"6,194","28,261","30,925","5,995","40,992","49,627","6,057","41,467","48,344","6,132","41,834","49,044","6,185","42,589","49,424",
SA ,5076,"6,158","29,572","33,158","5,871","42,346","51,132","5,852","42,861","51,852","5,919","43,561","52,828","5,967","44,511","54,406",
SA ,5081,"5,797","35,389","51,275","5,792","51,220","93,073","5,894","51,670","88,652","5,914","52,777","89,673","6,077","52,464","92,916",
SA ,5082,"8,471","32,416","37,318","8,829","45,828","59,153","8,881","46,522","59,254","8,986","47,423","61,644","9,131","48,356","61,611",
SA ,5083,"3,963","31,706","34,230","4,321","44,856","52,403","4,308","45,814","54,039","4,362","46,722","54,644","4,452","47,200","57,029",
SA ,5084,"3,537","25,291","26,483","4,230","36,274","40,315","4,303","36,060","40,135","4,500","37,273","41,732","4,683","36,681","41,453",
SA ,5085,"6,131","28,129","29,670","9,072","43,145","49,327","9,572","43,177","49,485","10,290","43,505","49,864","10,964","44,237","50,432",
SA ,5086,"7,434","28,861","30,757","8,346","41,983","46,936","8,406","42,248","47,366","8,585","42,282","48,052","8,755","43,442","48,733",
SA ,5087,"5,238","27,528","30,191","5,845","41,064","47,011","6,075","41,665","47,583","6,254","41,975","48,265","6,421","42,026","48,571",
SA ,5088,"1,872","26,881","28,031","1,807","39,860","43,486","1,788","40,597","43,724","1,770","41,398","44,398","1,821","42,393","45,267",
SA ,5089,"4,468","30,729","35,709","4,196","44,032","52,481","4,128","45,447","53,785","4,210","46,503","55,668","4,275","45,970","54,869",
SA ,5090,"4,412","27,488","29,363","4,180","40,301","44,119","4,108","40,755","45,013","4,087","40,693","45,499","4,135","40,609","45,713",
SA ,5091,"4,864","30,271","32,875","4,448","42,459","49,763","4,412","43,671","50,572","4,572","43,681","51,491","4,617","45,129","51,939",
SA ,5092,"10,237","29,346","30,950","9,659","41,824","46,363","9,686","41,905","46,591","9,822","42,403","46,949","9,862","42,594","47,216",
SA ,5093,"5,202","28,283","29,663","4,687","40,586","44,317","4,712","40,636","43,935","4,740","41,006","44,387","4,798","41,439","45,214",
SA ,5094,510,"28,456","30,202",476,"38,432","45,680",466,"37,041","42,892",463,"38,514","42,675",484,"38,622","49,355",
SA ,5095,"5,720","30,675","32,785","11,007","44,215","50,741","11,110","44,665","51,011","11,451","44,718","51,154","11,753","44,878","51,433",
SA ,5096,"8,196","28,205","30,279","7,599","40,510","45,099","7,418","41,285","45,779","7,485","41,183","46,394","7,504","42,045","47,055",
SA ,5097,"8,582","29,320","31,424","7,949","42,624","48,248","7,922","43,512","48,909","7,927","43,855","48,651","7,937","44,178","49,353",
SA ,5098,"6,499","29,215","29,922","6,087","40,706","45,629","6,103","41,564","45,889","6,136","41,474","45,933","6,301","41,437","45,849",
SA ,5107,"7,456","27,348","28,281","7,885","39,181","42,473","8,076","39,614","42,516","8,160","40,489","43,165","8,378","40,203","43,387",
SA ,5108,"19,043","27,857","28,679","18,146","39,760","42,297","18,383","39,892","42,551","18,681","40,544","42,634","19,239","40,894","43,160",
SA ,5109,"11,793","28,869","30,442","10,519","41,305","45,661","10,571","41,401","45,913","10,557","41,718","46,056","10,459","42,275","46,565",
SA ,5110,"2,694","26,426","27,030","3,955","41,737","44,544","4,007","42,254","45,727","4,197","42,654","45,673","4,270","43,014","46,401",
SA ,5111,na,na,na,na,na,na,288,"57,769","58,460",286,"63,968","64,328",309,"55,979","56,351",
SA ,5112,"8,805","26,458","28,138","7,428","38,718","42,237","7,351","39,193","42,479","7,536","39,431","42,449","7,679","39,172","42,737",
SA ,5113,"6,981","23,096","24,616","5,983","36,108","38,095","6,055","36,245","38,090","6,137","35,925","38,126","6,371","36,291","38,364",
SA ,5114,"12,842","29,392","30,848","16,473","41,823","46,003","16,807","42,406","46,765","17,167","42,965","47,084","17,569","43,356","47,468",
SA ,5115,"1,453","26,319","27,941","4,207","41,217","43,689","4,603","41,021","43,564","4,904","41,936","44,176","5,326","42,516","45,162",
SA ,5116,"3,102","28,589","30,711","4,102","41,077","46,764","4,341","41,870","47,156","4,600","42,261","47,893","4,864","43,009","48,189",
SA ,5117,"1,090","31,898","33,054","1,594","44,278","49,305","1,658","44,647","51,454","1,780","45,485","51,945","1,839","46,760","52,080",
SA ,5118,"9,568","29,132","32,669","10,183","43,290","50,507","10,350","43,658","51,320","10,523","43,708","50,906","10,640","45,049","52,422",
SA ,5120,"1,152","22,834","26,936","1,346","38,076","43,844","1,299","37,674","43,743","1,278","36,903","43,322","1,303","40,198","51,715",
SA ,5121,566,"24,033","26,884",582,"34,781","39,628",679,"37,121","41,331",757,"37,667","42,325",846,"39,873","43,735",
SA ,5125,"10,880","32,610","35,720","11,322","46,957","54,617","11,374","47,477","55,141","11,455","47,929","55,644","11,733","48,819","56,373",
SA ,5126,"4,986","30,292","32,137","4,334","43,383","48,521","4,332","44,355","50,326","4,365","44,693","50,499","4,375","45,903","51,125",
SA ,5127,"5,497","31,069","33,462","4,855","44,592","51,352","4,859","45,485","52,310","4,884","46,188","52,416","4,836","46,522","52,550",
SA ,5131,684,"32,264","36,732",664,"42,445","51,932",650,"43,460","54,852",640,"40,236","53,675",642,"41,852","53,816",
SA ,5132,249,"28,524","33,268",260,"45,023","64,541",267,"44,646","62,641",272,"50,074","66,396",274,"50,484","65,283",
SA ,5133,314,"31,337","39,551",299,"43,959","55,652",309,"43,711","53,391",311,"42,690","54,362",290,"44,461","55,470",
SA ,5134,264,"24,662","31,445",223,"41,015","55,410",239,"38,796","55,721",231,"39,846","54,721",235,"42,855","58,622",
SA ,5136,315,"29,427","34,366",297,"44,230","63,974",289,"41,678","58,067",311,"40,388","56,596",312,"42,259","56,881",
SA ,5137,375,"26,506","33,811",360,"43,255","59,545",366,"45,232","59,183",349,"46,371","61,628",357,"48,762","63,320",
SA ,5140,274,"31,281","37,224",265,"48,333","63,839",267,"56,024","67,252",259,"57,803","68,164",279,"55,363","68,450",
SA ,5141,538,"31,228","38,669",458,"39,634","56,439",441,"40,546","55,757",436,"43,540","56,291",445,"43,112","57,499",
SA ,5142,491,"28,424","35,709",467,"41,086","60,175",470,"46,788","67,478",461,"43,630","60,872",464,"42,470","64,354",
SA ,5144,228,"27,021","34,067",223,"41,366","59,761",232,"44,826","66,814",260,"42,720","63,873",242,"46,474","70,078",
SA ,5151,301,"28,208","31,213",259,"47,319","66,040",262,"50,207","74,786",273,"52,593","75,041",261,"50,332","72,901",
SA ,5152,"4,656","32,546","43,154","4,306","48,500","72,460","4,263","49,433","74,828","4,133","49,957","75,373","4,164","51,566","76,150",
SA ,5153,"3,534","27,368","34,398","3,886","41,426","59,955","3,925","42,719","60,483","3,998","42,834","58,953","4,039","44,727","60,424",
SA ,5154,"2,472","32,418","41,134","2,327","47,280","71,444","2,303","48,545","72,442","2,287","49,529","75,072","2,264","50,347","78,864",
SA ,5155,"2,450","29,905","34,927","2,405","45,136","55,612","2,425","45,729","55,733","2,406","45,781","55,830","2,428","47,434","58,494",
SA ,5156,671,"30,077","34,276",626,"47,887","58,832",633,"46,881","57,614",629,"47,058","57,652",625,"49,256","61,084",
SA ,5157,"1,908","27,692","34,333","1,882","39,532","52,233","1,914","40,099","54,545","1,930","41,025","55,076","1,913","42,570","60,433",
SA ,5158,"14,793","29,756","31,495","15,293","43,522","49,059","15,205","43,960","49,852","15,402","44,787","50,690","15,497","45,251","51,144",
SA ,5159,"21,348","30,079","33,246","20,565","42,617","50,243","20,491","43,354","51,004","20,419","43,911","51,285","20,418","44,701","52,190",
SA ,5161,"5,855","27,904","28,664","5,524","41,131","44,107","5,563","41,599","44,696","5,566","41,981","45,143","5,571","43,294","46,081",
SA ,5162,"19,620","27,862","29,150","18,104","39,818","43,850","18,255","40,245","44,300","18,322","40,748","44,778","18,472","41,635","45,328",
SA ,5163,"6,960","26,147","27,838","6,700","38,140","42,529","6,783","38,359","42,773","6,810","39,064","43,332","6,828","39,028","43,205",
SA ,5164,"2,232","25,055","26,479","1,886","37,740","39,427","1,898","36,646","39,135","1,903","36,727","39,697","1,972","35,510","38,941",
SA ,5165,"2,562","24,494","26,859","2,557","36,749","42,460","2,512","37,658","43,419","2,617","37,720","43,833","2,703","38,430","44,132",
SA ,5166,"1,029","25,335","26,583",871,"37,407","42,248",871,"38,187","40,860",900,"39,198","42,346",902,"40,109","43,254",
SA ,5167,"3,187","26,631","28,881","3,172","40,372","46,903","3,187","41,459","46,944","3,270","41,704","47,703","3,360","42,716","48,338",
SA ,5168,"2,107","25,891","27,954","2,754","39,315","43,551","2,733","40,001","44,894","2,777","40,934","44,560","2,801","40,298","44,916",
SA ,5169,"5,801","26,760","29,296","8,271","39,845","45,530","8,692","40,768","46,103","9,242","41,792","46,846","9,675","42,670","47,901",
SA ,5170,662,"24,707","27,977",654,"38,573","44,245",656,"38,843","44,621",661,"39,403","45,344",652,"40,012","45,975",
SA ,5171,"3,336","27,373","32,192","3,659","39,086","48,125","3,703","39,024","49,540","3,698","39,850","49,705","3,785","40,253","50,893",
SA ,5172,"2,398","26,272","30,713","2,534","38,775","48,096","2,505","40,292","48,273","2,527","40,039","50,265","2,565","40,206","50,498",
SA ,5173,"3,861","23,947","27,142","6,258","37,802","43,982","6,320","38,738","44,671","6,481","38,945","44,799","6,633","39,150","45,323",
SA ,5174,948,"25,061","26,988","1,366","37,571","44,191","1,458","37,932","44,732","1,520","39,490","44,905","1,511","39,805","45,521",
SA ,5201,"1,119","26,647","30,733","1,140","37,581","48,379","1,173","37,563","44,797","1,243","40,741","47,203","1,295","41,794","48,536",
SA ,5202,417,"23,201","24,003",472,"36,821","42,448",466,"39,756","46,423",492,"38,000","44,721",515,"37,694","45,907",
SA ,5203,684,"22,928","25,668",681,"33,140","39,294",689,"32,946","39,479",677,"35,989","40,601",679,"33,839","40,699",
SA ,5204,"1,152","22,277","25,854","1,317","30,186","40,107","1,345","31,560","40,732","1,413","31,850","39,529","1,454","30,903","39,762",
SA ,5210,967,"23,621","27,218","1,094","37,848","45,255","1,099","39,266","47,189","1,083","38,606","46,130","1,117","38,721","48,824",
SA ,5211,"6,768","21,222","25,365","7,574","31,399","40,045","7,614","32,477","41,074","7,602","32,607","40,365","7,775","32,417","40,525",
SA ,5212,977,"20,409","24,130","1,087","30,179","37,580","1,098","31,665","38,804","1,137","30,916","39,244","1,161","30,240","38,328",
SA ,5213,627,"21,545","25,712",665,"36,064","46,495",707,"34,161","45,916",692,"36,945","47,086",711,"36,607","51,649",
SA ,5214,"3,361","21,160","26,712","3,865","31,256","39,303","3,921","30,964","39,615","3,986","30,833","40,093","4,071","31,622","40,545",
SA ,5220,294,"20,219","19,926",247,"26,954","31,384",242,"28,223","32,716",248,"32,542","39,112",252,"36,387","41,317",
SA ,5222,359,"24,142","30,366",403,"32,321","41,916",384,"29,986","40,137",401,"30,145","39,459",393,"32,697","42,950",
SA ,5223,"2,047","21,991","23,866","2,036","32,808","37,872","2,014","33,095","38,869","2,056","33,667","39,850","2,106","35,560","41,835",
SA ,5231,671,"28,534","33,114",690,"43,133","60,920",703,"41,709","62,195",715,"41,781","61,073",699,"45,222","60,700",
SA ,5232,228,"27,358","32,577",256,"37,770","54,052",268,"41,227","54,804",281,"41,429","60,497",266,"44,284","55,465",
SA ,5233,832,"27,289","31,674",860,"40,224","49,319",872,"41,079","49,321",892,"40,312","50,831",864,"42,649","53,784",
SA ,5234,865,"24,329","27,740",883,"41,748","48,012",860,"42,830","49,795",870,"40,602","49,121",871,"43,158","51,394",
SA ,5235,"1,312","24,277","27,723","1,303","34,675","44,531","1,310","36,482","43,950","1,329","37,122","44,347","1,373","37,817","45,163",
SA ,5237,na,na,na,na,na,na,na,na,na,na,na,na,210,"35,078","39,972",
SA ,5238,"1,999","20,683","23,563","1,927","31,220","37,581","1,954","33,292","39,808","2,019","33,305","39,295","2,021","33,537","40,685",
SA ,5240,389,"24,664","30,263",317,"41,320","50,554",309,"42,538","49,096",334,"38,854","44,735",353,"35,048","44,175",
SA ,5241,"1,387","26,720","29,066","1,480","39,987","46,709","1,454","41,765","48,394","1,473","42,914","53,722","1,477","43,106","50,781",
SA ,5242,910,"30,033","41,515","1,004","43,401","59,427",986,"43,064","61,429","1,016","44,364","58,261","1,033","45,268","60,198",
SA ,5243,595,"29,366","38,655",568,"42,891","91,735",590,"43,420","59,904",577,"45,849","59,118",593,"45,430","60,795",
SA ,5244,"2,456","27,718","30,619","2,418","41,285","49,734","2,467","41,407","50,703","2,464","42,057","50,835","2,467","42,266","51,561",
SA ,5245,"2,068","27,725","32,828","1,989","41,901","57,124","1,954","41,806","58,291","1,945","41,931","57,258","1,972","40,992","56,385",
SA ,5250,"1,633","30,097","33,513","2,029","44,831","54,667","2,105","45,547","54,858","2,175","44,725","55,159","2,267","46,124","55,975",
SA ,5251,"6,137","27,451","31,496","7,839","41,851","50,610","8,020","42,136","50,750","8,284","42,561","50,585","8,596","43,261","51,261",
SA ,5252,"2,754","27,231","29,290","3,476","42,319","48,299","3,547","43,106","49,009","3,748","42,819","48,912","3,825","42,670","48,879",
SA ,5253,"8,343","24,743","26,656","9,217","35,722","39,778","9,378","35,843","40,096","9,833","36,408","40,299","9,833","37,495","41,308",
SA ,5254,936,"23,085","26,117","1,120","35,762","40,452","1,154","36,491","42,127","1,208","36,594","42,420","1,260","36,922","42,358",
SA ,5255,"3,977","26,190","29,195","4,951","37,940","44,105","5,045","38,352","45,106","5,144","39,045","46,446","5,359","38,662","46,377",
SA ,5256,451,"21,467","23,325",593,"32,246","38,510",610,"32,528","38,727",593,"33,498","38,250",619,"33,371","38,695",
SA ,5259,383,"20,315","32,304",414,"34,297","40,320",431,"30,813","37,297",444,"34,511","36,768",467,"31,545","36,347",
SA ,5260,"1,037","20,904","23,689",920,"33,290","37,578",888,"34,970","39,117",845,"35,281","40,145",859,"36,089","43,078",
SA ,5261,324,"26,839","36,712",250,"33,257","40,247",240,"33,456","39,210",230,"35,752","40,972",233,"37,299","51,506",
SA ,5262,368,"27,424","30,414",327,"33,067","37,501",320,"38,754","47,595",329,"41,242","49,847",327,"38,463","43,289",
SA ,5264,933,"24,347","27,466",751,"33,414","40,335",745,"35,411","41,990",729,"34,680","39,940",749,"37,000","43,503",
SA ,5265,274,"20,951","23,499",206,"33,991","38,810",206,"32,590","36,231",209,"33,627","35,207",215,"36,085","41,758",
SA ,5266,461,"24,911","27,039",425,"33,427","38,182",431,"33,524","40,426",420,"37,476","45,224",423,"38,243","46,684",
SA ,5267,"1,343","26,858","29,362","1,250","37,511","40,411","1,255","37,099","39,949","1,228","37,519","42,382","1,277","39,758","44,711",
SA ,5268,"2,373","26,263","27,344","2,455","36,049","40,151","2,440","36,831","43,083","2,359","37,123","40,403","2,412","38,930","42,745",
SA ,5270,370,"23,613","24,934",391,"35,604","39,883",392,"34,311","37,372",406,"36,389","39,035",422,"39,046","42,416",
SA ,5271,"4,838","26,993","29,417","4,865","36,484","42,853","4,895","37,509","45,988","4,861","38,490","44,902","4,907","39,118","45,760",
SA ,5272,613,"25,226","27,099",563,"34,722","45,203",553,"38,956","47,653",540,"40,187","50,651",533,"41,989","54,532",
SA ,5275,"1,378","25,156","28,325","1,338","35,956","42,622","1,357","36,576","45,508","1,364","38,156","49,555","1,385","39,406","52,291",
SA ,5276,809,"20,677","26,145",838,"31,386","41,286",836,"34,877","44,423",854,"33,817","46,560",864,"36,496","48,423",
SA ,5277,"1,892","30,162","30,127","1,615","37,729","42,545","1,636","38,120","44,261","1,622","40,164","47,939","1,636","40,449","49,053",
SA ,5278,337,"30,211","40,053",332,"33,942","45,914",323,"37,460","49,611",324,"39,978","52,139",306,"41,090","57,118",
SA ,5279,na,na,na,na,na,na,na,na,na,217,"36,427","46,710",217,"35,928","42,437",
SA ,5280,"4,580","27,103","32,261","4,023","37,224","46,189","3,965","37,747","47,736","4,047","39,126","49,961","4,016","40,198","50,117",
SA ,5290,"16,046","28,822","31,756","15,141","39,803","49,639","15,081","40,336","46,734","14,892","41,511","48,086","14,686","42,558","49,042",
SA ,5291,"2,916","28,172","30,452","3,512","40,031","60,059","3,771","41,457","53,674","4,015","43,124","53,670","4,356","43,501","52,619",
SA ,5301,389,"18,791","23,067",305,"23,606","30,620",310,"27,524","35,015",325,"27,139","34,043",308,"34,248","43,961",
SA ,5302,595,"23,669","24,787",532,"32,694","39,101",519,"36,706","41,645",523,"36,695","47,066",532,"41,416","49,949",
SA ,5304,638,"25,789","28,215",551,"32,206","36,736",556,"33,510","36,989",548,"33,569","38,897",557,"38,418","44,395",
SA ,5307,455,"20,632","21,713",353,"27,190","31,566",355,"32,962","37,896",337,"30,943","37,580",329,"34,089","42,512",
SA ,5320,349,"20,520","22,978",265,"32,582","39,990",278,"38,092","43,766",247,"39,385","43,785",279,"39,059","42,335",
SA ,5322,262,"20,668","29,065",243,"32,281","39,609",337,"35,142","40,436",377,"35,180","44,426",400,"34,599","43,037",
SA ,5330,"2,447","23,878","26,612","2,135","35,882","40,778","2,041","35,025","41,351","1,930","36,804","42,835","1,967","36,806","43,622",
SA ,5332,253,"21,165","28,814",223,"32,980","44,029",215,"34,793","45,403",224,"35,567","48,924",213,"39,161","48,269",
SA ,5333,"3,814","24,033","25,942","3,443","35,741","41,781","3,431","36,556","43,396","3,366","38,483","44,202","3,412","40,033","45,893",
SA ,5340,743,"25,023","30,386",787,"34,357","36,213",800,"34,677","47,879",852,"35,522","41,622",815,"36,950","44,230",
SA ,5341,"4,602","23,496","26,153","4,375","33,849","38,723","4,376","34,616","40,467","4,349","36,484","41,809","4,305","37,308","43,114",
SA ,5342,453,"24,321","25,351",510,"35,643","40,679",511,"36,672","41,229",548,"37,971","41,559",540,"38,613","41,487",
SA ,5343,"3,745","25,841","29,057","2,950","36,591","43,418","2,858","36,973","43,305","2,830","38,861","44,574","2,714","40,469","45,504",
SA ,5344,332,"24,845","26,786",372,"33,548","38,413",383,"37,667","41,629",373,"36,390","40,181",406,"37,412","42,000",
SA ,5345,"2,192","24,300","26,831","1,851","37,093","41,829","1,897","36,527","41,717","1,906","37,322","41,977","1,929","39,066","43,767",
SA ,5350,na,na,na,na,na,na,236,"44,462","51,794",229,"43,158","50,850",253,"42,356","50,020",
SA ,5351,"2,872","30,234","32,816","3,324","41,848","49,473","3,344","42,506","50,593","3,452","42,580","49,966","3,490","44,382","51,645",
SA ,5352,"3,164","29,497","33,628","3,143","43,675","52,550","3,238","43,317","54,235","3,200","43,019","52,305","3,248","44,227","56,327",
SA ,5353,"2,352","27,654","30,606","2,178","37,441","48,627","2,212","38,603","48,348","2,227","39,565","48,188","2,258","41,008","51,478",
SA ,5355,"3,718","29,673","31,467","4,199","41,576","47,081","4,256","41,589","46,771","4,313","43,402","48,845","4,424","44,876","50,273",
SA ,5356,417,"24,861","28,677",457,"39,292","40,495",441,"40,258","44,308",472,"40,203","43,653",480,"38,044","43,524",
SA ,5357,na,na,na,na,na,na,na,na,na,na,na,na,203,"31,883","37,548",
SA ,5360,706,"30,605","32,062",746,"42,548","49,183",745,"42,633","49,042",758,"43,852","50,055",765,"44,969","53,587",
SA ,5371,794,"29,542","32,580",829,"40,752","47,163",851,"42,443","51,908",854,"43,266","49,130",863,"43,839","50,251",
SA ,5372,857,"27,745","29,256","1,146","42,166","47,525","1,152","43,638","48,877","1,214","45,733","49,296","1,268","46,357","49,761",
SA ,5373,"1,750","26,532","28,323","1,826","38,128","47,923","1,782","39,640","45,636","1,810","40,060","46,938","1,844","41,288","48,057",
SA ,5374,805,"21,447","24,537",776,"31,487","37,797",736,"34,861","41,843",776,"34,405","42,465",776,"35,128","41,705",
SA ,5381,213,"18,958","22,666",204,"27,043","36,523",na,na,na,na,na,na,na,na,na,
SA ,5400,315,"26,352","27,287",423,"41,338","48,620",441,"45,020","50,524",442,"42,639","47,711",479,"43,959","48,751",
SA ,5401,474,"26,606","28,892",437,"39,578","43,614",440,"42,263","45,885",423,"44,416","47,029",437,"43,649","47,659",
SA ,5412,591,"24,928","27,721",608,"38,030","45,211",610,"37,139","46,017",612,"38,447","47,304",620,"37,792","47,040",
SA ,5413,515,"23,923","28,893",493,"32,507","43,037",464,"31,672","44,857",486,"31,106","44,974",473,"31,590","44,857",
SA ,5417,930,"24,186","25,055",783,"35,157","42,188",760,"35,669","42,158",773,"36,289","43,958",794,"36,650","44,079",
SA ,5422,808,"20,974","24,144",639,"35,248","40,559",649,"34,354","39,991",654,"35,726","41,286",630,"35,048","40,611",
SA ,5431,629,"22,339","26,093",525,"30,943","38,524",525,"36,967","42,937",527,"37,397","47,111",522,"38,554","46,088",
SA ,5433,667,"25,820","29,281",701,"40,702","51,249",681,"40,680","52,246",693,"42,804","52,838",649,"42,700","51,569",
SA ,5434,282,"23,395","25,037",240,"36,136","41,171",234,"41,359","46,271",228,"39,789","47,448",237,"40,076","48,448",
SA ,5451,373,"22,604","26,468",418,"37,974","43,800",419,"35,394","39,639",409,"38,699","42,834",436,"38,174","47,087",
SA ,5452,269,"25,507","26,886",267,"37,419","43,399",274,"37,177","45,622",283,"37,812","43,222",285,"38,123","45,078",
SA ,5453,"2,935","26,817","29,782","3,030","38,935","48,286","3,013","40,625","50,477","3,046","40,141","50,797","3,024","40,369","50,599",
SA ,5454,244,"22,652","24,951",224,"35,824","40,276",212,"36,362","38,809",217,"31,436","35,562",211,"34,398","39,499",
SA ,5460,368,"21,039","25,212",387,"35,172","44,544",381,"38,372","47,754",375,"36,946","49,295",360,"38,368","48,712",
SA ,5461,"1,321","25,474","28,652","1,368","37,875","45,479","1,337","39,291","47,330","1,346","39,619","48,106","1,375","40,466","49,101",
SA ,5462,260,"27,651","27,756",297,"36,867","50,598",304,"39,405","50,429",318,"36,805","45,605",317,"39,023","45,149",
SA ,5464,295,"22,536","25,138",275,"38,962","45,770",276,"42,350","50,286",270,"37,923","43,872",284,"40,848","47,941",
SA ,5473,389,"20,117","25,857",357,"35,061","44,159",357,"39,105","48,886",353,"36,691","41,892",346,"37,138","43,306",
SA ,5480,504,"21,624","27,252",477,"35,329","44,672",484,"36,509","47,167",491,"37,889","46,679",479,"38,239","45,056",
SA ,5481,347,"20,255","22,686",333,"27,117","35,177",320,"29,849","35,832",321,"31,466","37,076",315,"31,949","38,403",
SA ,5482,331,"25,583","27,983",319,"32,541","39,134",321,"34,991","43,284",321,"34,627","41,437",329,"38,032","45,188",
SA ,5483,na,na,na,na,na,na,na,na,na,207,"38,437","43,841",201,"36,491","46,390",
SA ,5485,362,"24,070","28,862",315,"41,187","52,044",327,"41,900","51,202",318,"43,363","54,483",331,"42,098","52,547",
SA ,5491,"1,078","26,748","31,219","1,070","39,220","48,319","1,070","39,793","51,531","1,078","41,995","52,435","1,091","44,213","53,724",
SA ,5495,na,na,na,na,na,na,221,"35,006","48,380",237,"36,277","44,240",226,"40,765","46,583",
SA ,5501,"3,380","28,307","30,216","3,851","41,535","47,350","3,860","43,017","51,855","3,930","43,404","49,049","4,007","44,456","51,241",
SA ,5502,842,"26,962","29,786",832,"41,935","50,837",838,"42,214","53,943",842,"42,502","55,112",864,"41,653","54,300",
SA ,5520,386,"26,572","25,117",286,"36,230","44,388",281,"39,360","50,265",268,"35,776","47,338",256,"37,747","47,104",
SA ,5522,676,"18,855","28,100",669,"36,734","47,958",667,"35,840","46,444",622,"35,738","46,321",653,"35,394","47,187",
SA ,5523,974,"25,452","29,857",970,"40,754","50,780",954,"43,725","55,482",968,"42,117","53,818",981,"44,655","57,247",
SA ,5540,"7,337","24,438","28,996","6,961","38,937","47,327","6,953","39,651","48,575","6,890","40,166","48,393","7,028","40,630","49,192",
SA ,5550,446,"26,684","26,402",466,"37,656","40,683",508,"35,401","41,204",491,"37,567","42,157",459,"41,528","43,742",
SA ,5554,"2,544","25,811","30,853","2,768","39,685","48,746","2,796","40,963","51,966","2,791","40,926","50,100","2,819","42,077","51,863",
SA ,5555,453,"25,566","30,731",365,"40,912","48,685",341,"42,429","57,229",352,"39,049","49,318",343,"43,679","54,003",
SA ,5556,"1,388","21,559","25,906","1,699","34,628","41,407","1,721","36,797","43,341","1,795","34,948","42,654","1,810","35,934","44,280",
SA ,5558,"1,743","22,334","27,572","2,103","35,831","44,073","2,177","36,018","44,168","2,227","34,936","43,747","2,252","35,329","43,667",
SA ,5560,299,"24,526","29,028",248,"39,533","57,771",248,"43,670","67,207",243,"47,149","60,708",243,"43,236","59,908",
SA ,5571,954,"24,484","29,622",901,"35,421","45,688",887,"36,047","47,153",911,"35,575","47,166",892,"36,733","48,107",
SA ,5573,"1,259","25,437","30,861","1,091","37,577","47,017","1,079","38,713","55,385","1,067","37,280","48,422","1,090","39,723","54,225",
SA ,5575,"1,201","21,868","26,482","1,188","33,278","40,356","1,204","33,050","41,199","1,212","31,850","39,150","1,207","34,754","42,452",
SA ,5576,708,"22,668","26,712",612,"33,594","43,613",611,"33,129","42,090",597,"32,450","40,551",595,"34,602","43,689",
SA ,5577,397,"19,532","21,656",334,"28,098","33,059",327,"31,415","38,454",310,"30,176","33,727",333,"28,637","34,881",
SA ,5580,na,na,na,na,na,na,209,"36,247","43,226",215,"31,880","34,148",219,"40,952","45,800",
SA ,5581,297,"19,323","26,501",271,"29,791","44,717",285,"32,366","45,983",282,"34,518","44,900",279,"35,762","46,764",
