suburb,medianSoldPrice,lowestSoldPrice,highestSoldPrice,medianRentListingPrice
Mount Lewis,,785000,1900000,500
Mount Pritchard,620000,400000,1400000,420
Mount Vernon,,1580000,2910000,
Mulgoa,,615000,3140000,610
Mulgrave,,,,
Narellan Vale,659000,500000,1040000,450
Naremburn,1920000,1055000,3870000,950
Narrabeen,2065000,880000,7550000,750
Narraweena,1325000,978000,2300000,800
Narwee,926000,573000,2050000,565
Nelson,,,,
Neutral Bay,2100000,1050000,8100000,1000
Newington,1060000,890000,1570000,728
Newport,1700000,1083000,8250000,980
Newtown,1300000,705000,5050000,775
Normanhurst,1132000,695000,1715000,620
North Balgowlah,2073000,1295000,3850000,1175
North Bondi,2675000,1475000,7350000,1495
North Curl Curl,2150000,1500000,4050000,1138
North Epping,1238000,925000,2200000,650
North Kellyville,1035000,406000,9500000,650
North Manly,1648000,1135000,3100000,918
North Narrabeen,1360000,421000,2850000,898
North Parramatta,850000,457000,2405000,540
North Richmond,660000,423000,6250000,450
North Rocks,1050000,750000,1850000,570
North Ryde,1430000,730000,2610000,670
North St Marys,520000,420000,850000,350
North Strathfield,1500000,930000,2500000,725
North Sydney,1981000,1360000,6000000,978
North Turramurra,1560000,1038000,21800000,878
North Wahroonga,1615000,1185000,7150000,950
North Willoughby,2485000,1030000,4698000,975
Northbridge,3085000,1170000,12600000,1200
Northmead,842000,520000,1499000,510
Northwood,2978000,1890000,4520000,1245
Norwest,1200000,865000,2650000,650
Oakhurst,610000,425000,860000,420
Oakville,,2100000,2100000,650
Oatlands,1180000,600000,2500000,600
Oatley,1510000,655000,4109000,650
Old Guildford,,540000,900000,430
Old Toongabbie,764000,500000,1550000,450
Oran Park,710000,367000,1290000,510
Orchard Hills,,1125000,1125000,490
Oxford Falls,,,,
Oxley Park,510000,395000,1040000,400
Oyster Bay,1192000,735000,3200000,650
Paddington,2188000,915000,7650000,1100
Padstow,880000,413000,1720000,540
Padstow Heights,858000,568000,1210000,550
Pagewood,1438000,1000000,2900000,860
Palm Beach,3510000,1000000,20500000,1200
Panania,896000,542000,1960000,550
Parklea,812000,482000,1080000,500
Parramatta,950000,425000,1730000,500
Peakhurst,880000,570000,1650000,580
Peakhurst Heights,1075000,745000,1610000,635
Pemulwuy,843000,648000,1200000,635
Pendle Hill,812000,430000,1285000,450
Pennant Hills,1250000,775000,1810000,650
Penrith,581000,400000,3200000,400
Penshurst,1030000,550000,2390000,570
Petersham,1250000,630000,2630000,750
Phillip Bay,,1640000,1850000,
Picnic Point,940000,650000,2105000,600
Pitt Town,1035000,600000,3689000,608
Pitt Town Bottoms,,,,
Pleasure Point,,1025000,1335000,
Plumpton,630000,396000,895000,450
Point Piper,,6000000,16300000,
Port Botany,,,,
Port Hacking,1850000,1000000,3850000,
Potts Hill,,,,680
Potts Point,,1225000,5500000,810
Prairiewood,802000,615000,1405000,535
Prestons,735000,400000,1200000,540
Prospect,720000,396000,1080000,450
Punchbowl,825000,455000,1500000,535
Putney,1900000,823000,5500000,848
Pymble,2350000,220000,8500000,1088
Pyrmont,,950000,1775000,850
Quakers Hill,730000,380000,1100000,460
Queens Park,2610000,1350000,4715000,1350
Queenscliff,2500000,1255000,7550000,1000
Raby,622000,400000,1000000,425
Ramsgate,,975000,1820000,650
Ramsgate Beach,810000,720000,1050000,620
Randwick,2205000,1235000,5750000,1100
Redfern,1400000,571000,12700000,850
Regents Park,749000,630000,2500000,460
Regentville,,540000,870000,420
Revesby,866000,560000,1450000,530
Revesby Heights,855000,685000,1420000,670
Rhodes,,1310000,8289000,650
Richmond,590000,420000,1800000,430
Richmond Lowlands,,,,
Riverstone,725000,350000,1180000,500
Riverview,2350000,1515000,4403000,1500
Riverwood,864000,703000,1530000,530
Rockdale,1100000,860000,1915000,600
Rodd Point,1930000,1350000,4800000,800
Rookwood,,,,
Rooty Hill,635000,355000,1120000,430
Ropes Crossing,642000,460000,820000,500
Rose Bay,3900000,1675000,23560000,1595
Rosebery,1673000,1015000,2727000,865
Rosehill,,615000,1190000,505
Roselands,890000,550000,1660000,550
Rosemeadow,530000,190000,733000,390
Roseville,2430000,1260000,8500000,1020
Roseville Chase,2040000,1525000,3300000,980
Rossmore,,2600000,2800000,525
Rouse Hill,930000,460000,13260000,600
ROYAL NATIONAL PARK,,,,
Rozelle,1578000,930000,3700000,800
Ruse,578000,400000,733000,420
Rushcutters Bay,,3100000,3800000,
Russell Lea,1757000,1155000,2805000,800
Rydalmere,938000,690000,2350000,500
Ryde,1350000,760000,8250000,650
Sackville,,,,
Sackville North,,,,
Sadleir,583000,480000,740000,380
Sandringham,1815000,1120000,2850000,685
Sandy Point,,695000,1525000,
Sans Souci,1250000,650000,3500000,650
South Penrith,632000,415000,925000,423
South Turramurra,1490000,1170000,3100000,820
South Wentworthville,691000,455000,1750000,460
South Windsor,598000,425000,780000,420
Spring Farm,677000,299000,1800000,500
St Andrews,583000,385000,870000,400
St Clair,665000,482000,4100000,440
St Helens Park,548000,415000,780000,395
St Ives,1775000,745000,4600000,1000
St Ives Chase,1775000,1100000,3550000,1000
St Johns Park,780000,540000,1052000,475
St Leonards,,6200000,12050000,860
St Marys,531000,255000,3916000,390
St Peters,1329000,890000,1640000,750
Stanhope Gardens,853000,275000,1450000,580
Stanmore,1448000,918000,2850000,850
Strathfield,2120000,698000,8000000,750
Strathfield South,1158000,656000,1575000,650
Summer Hill,1621000,830000,2920000,750
Surry Hills,1660000,861000,4475000,900
Sutherland,900000,420000,5998000,550
Sydenham,,845000,1290000,748
Sydney,,,,700
Sydney Olympic Park,,,,
Sylvania,1023000,554000,2500000,700
Sylvania Waters,1595000,600000,4950000,1000
Tamarama,,1166000,8400000,1795
Taren Point,1215000,785000,7250000,690
Telopea,1040000,500000,2300000,500
Tempe,1100000,785000,1562000,690
Tennyson,,,,
Tennyson Point,2470000,950000,5600000,950
Terrey Hills,1433000,930000,4800000,940
The Ponds,950000,500000,1825000,620
The Rocks,,,,
The Slopes,,1255000,1255000,
Thornleigh,1100000,750000,2075000,595
Toongabbie,730000,430000,1200000,450
Tregear,427000,320000,545000,330
Turramurra,1850000,850000,5030000,898
Turrella,,880000,1613000,693
Ultimo,,1100000,1250000,750
Varroville,,,,
Vaucluse,5271000,985000,38800000,1900
Villawood,700000,490000,945000,560
Vineyard,245000,180000,2800000,550
Voyager Point,1030000,810000,1500000,
Wahroonga,1800000,730000,6036000,850
Waitara,1158000,755000,1600000,600
Wakeley,718000,500000,1203000,470
Wallacia,,1515000,2100000,440
Wareemba,1733000,1060000,2905000,690
Warrawee,2505000,1000000,13000000,1188
Warriewood,1346000,875000,8250000,850
Warwick Farm,,570000,3900000,420
Waterfall,,,,
Waterloo,,1040000,1235000,750
Watsons Bay,,10000000,16800000,
Wattle Grove,790000,645000,1355000,530
Waverley,2060000,430000,4300000,1145
Waverton,2005000,1350000,6150000,980
Wedderburn,,1100000,1375000,
Wentworth Point,,,,
Wentworthville,794000,490000,3500000,480
Werrington,519000,332000,1500000,400
Werrington County,620000,455000,850000,400
