id,name,latitude,longitude,morning_peak,afternoon_peak
10114,Fairy Meadow Station,-34.39583411,150.89617019999997,6-8am,4-6.30pm
10115,Fassifern Station,-32.9857882,151.58125090000001,6-7.45am,4-6.30pm
10116,Faulconbridge Station,-33.69648835,150.5350339,6-8am,4-6.30pm
10117,Flemington Station,-33.86482229,151.06976650000001,7-9am,4-6.30pm
10118,Gerringong Station,-34.74488594,150.81750780000002,6-8am,4-6.30pm
10119,Geurie Station,-32.398277,148.830581,No peak,No peak
10120,Glenbrook Station,-33.76900437,150.6208342,6-8am,4-6.30pm
10121,Glenfield Station,-33.97236827,150.8928072,7-9am,4-6.30pm
10122,Gloucester Station,-32.004766,151.966735,No peak,No peak
10123,Gordon Station,-33.75600864,151.154528,7-9am,4-6.30pm
10124,Gosford Station,-33.42388261,151.3417109,6-8am,4-6.30pm
10125,Goulburn Station,-34.75846191,149.7192744,6-7.30am,4-6.30pm
10126,Grafton Station,-29.703905,152.941692,No peak,No peak
10127,Granville Station,-33.83317598,151.0124947,7-9am,4-6.30pm
10128,Green Square Station,-33.90606259,151.20247450000002,7-9am,4-6.30pm
10129,Greta Station,-32.68662215,151.38408950000002,No peak,4-6.30pm
10130,Griffith Station,-34.28682,146.04773400000002,No peak,No peak
10131,Guildford Station,-33.854505700000004,150.984361,7-9am,4-6.30pm
10132,Gunnedah Station,-30.979376000000002,150.247996,No peak,No peak
10133,Gunning Station,-34.779691,149.261031,No peak,No peak
10134,Gymea Station,-34.03489294,151.0854766,7-9am,4-6.30pm
10135,Hamilton Station,-32.91871348,151.7488722,6-7.15am,4-6.30pm
10136,Harden Station,-34.553349,148.371322,No peak,No peak
10137,Harris Park Station,-33.82326002,151.0076387,7-9am,4-6.30pm
10138,Hawkesbury River Station,-33.54678835,151.2265104,6-8am,4-6.30pm
10139,Hazelbrook Station,-33.72397351,150.45460380000003,6-7.45am,4-6.30pm
10140,Heathcote Station,-34.08823661,151.0080024,7-9am,4-6.30pm
10141,Helensburgh Station,-34.17686988,150.9948249,6-8am,4-6.30pm
10142,Henty Station,-35.517886,147.035371,No peak,No peak
10143,Hexham Station,-32.82947029,151.6844171,6-7am,4-6.30pm
10144,High Street Station,-32.741448999999996,151.56368930000002,6-7am,4-6.30pm
10145,Hilldale Station,-32.50450378,151.6497678,No peak,4-6.30pm
10146,Holsworthy Station,-33.96320957,150.9568946,7-9am,4-6.30pm
10147,Homebush Station,-33.86673988,151.08644130000002,7-9am,4-6.30pm
10148,Hornsby Station,-33.70280124,151.098494,7-9am,4-6.30pm
10149,Hurlstone Park Station,-33.91042225,151.1320925,7-9am,4-6.30pm
10150,Hurstville Station,-33.96745356,151.1027571,7-9am,4-6.30pm
10151,Ingleburn Station,-33.9970797,150.8649205,7-9am,4-6.30pm
10152,International Airport Station,-33.93498823,151.16589130000003,7-9am,4-6.30pm
10153,Ivanhoe Station,-32.914304,144.311759,No peak,No peak
10154,Jannali Station,-34.01612866,151.0646645,7-9am,4-6.30pm
10155,Junee Station,-34.870259999999995,147.583766,No peak,No peak
10156,Katoomba Station,-33.71157344,150.3111602,6-7.30am,4-6.30pm
10157,Kembla Grange Station,-34.47021836,150.8173407,6-8am,4-6.30pm
10158,Kempsey Station,-31.076852000000002,152.83304099999998,No peak,No peak
10159,Kendall Station,-31.635403999999998,152.706288,No peak,No peak
10160,Kiama Station,-34.67251778,150.85469469999998,6-8am,4-6.30pm
10161,Killara Station,-33.76540899,151.16164740000002,7-9am,4-6.30pm
10162,Kings Cross Station,-33.87454091,151.2223342,7-9am,4-6.30pm
10163,Kingsgrove Station,-33.94063602,151.10048390000003,7-9am,4-6.30pm
10164,Kingswood Station,-33.758251200000004,150.7198236,7-9am,4-6.30pm
10165,Kirrawee Station,-34.03501535,151.0713153,7-9am,4-6.30pm
