suburb,forecast_22Nov,condition_22Nov,forecast_23Nov,condition_23Nov,forecast_23Nov,condition_23Nov,forecast_24Nov,condition_24Nov,forecast_25Nov,condition_25Nov
Riverwood,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Rockdale,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Rodd Point,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Rooty Hill,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Ropes Crossing,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Rose Bay,22.92,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Rosebery,15.02,Clouds,11.96,Rain,15.2,Clouds,13.23,Clouds,9.24,Rain
Rosehill,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Roselands,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Rosemeadow,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Roseville,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Roseville Chase,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Rossmore,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Rouse Hill,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Rozelle,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Ruse,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Rushcutters Bay,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Russell Lea,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Rydalmere,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Ryde,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Sackville,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Sackville North,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Sadleir,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Sandringham,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Sandy Point,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Sans Souci,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Scheyville,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Schofields,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Scotland Island,23.36,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Seaforth,29.33,Clear,29.1,Clear,28.84,Rain,28.7,Clear,28.84,Clouds
Sefton,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Seven Hills,30.17,Clear,28.5,Clear,28.11,Clear,27.75,Clear,29.19,Clear
Shalvey,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Shanes Park,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Silverwater,23.58,Clouds,27.03,Clouds,20.63,Clouds,31.13,Clouds,19.04,Rain
Singletons Mill,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Smeaton Grange,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Smithfield,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
South Coogee,22.92,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
South Granville,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
South Hurstville,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
South Maroota,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
South Penrith,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
South Turramurra,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
South Wentworthville,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
South Windsor,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Spring Farm,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
St Andrews,22.42,Clear,20.94,Clouds,23.89,Clear,27.25,Clear,13.42,Rain
St Clair,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
St Helens Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
St Ives,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
St Ives Chase,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
St Johns Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
St Leonards,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
St Marys,18.5,Clouds,17.53,Rain,20.87,Clouds,23.28,Clouds,10.82,Rain
St Peters,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Stanhope Gardens,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Stanmore,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Strathfield,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Strathfield South,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Summer Hill,31.8,Clouds,29.97,Clouds,27.84,Clouds,30.24,Clouds,24.64,Clouds
Surry Hills,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Sutherland,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Sydenham,21,Clear,23.09,Clouds,25.37,Clear,29.21,Clouds,16.17,Clouds
Sydney,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Sydney Olympic Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Sylvania,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Sylvania Waters,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Tamarama,22.92,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Taren Point,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Telopea,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Tempe,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Tennyson,30.17,Clear,28.5,Clear,28.11,Clear,27.75,Clear,29.19,Clear
Tennyson Point,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Terrey Hills,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
The Ponds,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
The Rocks,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
The Slopes,32.84,Clouds,28.69,Clouds,23.72,Clouds,29.8,Clouds,26.12,Clouds
Thornleigh,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Toongabbie,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Tregear,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Turramurra,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Turrella,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Ultimo,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Varroville,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Vaucluse,22.92,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Villawood,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Vineyard,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Voyager Point,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Wahroonga,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Waitara,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Wakeley,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Wallacia,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
Wareemba,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Warrawee,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Warriewood,23.36,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Warwick Farm,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Waterfall,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Waterloo,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Watsons Bay,22.92,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Wattle Grove,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Waverley,22.92,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Waverton,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Wedderburn,24.65,Clear,24.15,Clouds,25.34,Clear,32.34,Clouds,19.59,Clear
Wentworth Point,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Wentworthville,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Werrington,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Werrington County,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Werrington Downs,32.84,Clouds,28.69,Clouds,23.72,Clouds,29.8,Clouds,26.12,Clouds
West Hoxton,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
West Pennant Hills,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
West Pymble,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
West Ryde,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Westleigh,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Westmead,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Wetherill Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Whalan,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Whale Beach,23.34,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Wheeler Heights,23.36,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Wilberforce,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Wiley Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Willmot,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Willoughby,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Willoughby East,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Windsor,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Windsor Downs,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Winston Hills,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Wisemans Ferry,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Wolli Creek,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Wollstonecraft,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Woodbine,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Woodcroft,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Woodpark,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Woollahra,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Woolloomooloo,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Woolooware,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Woolwich,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Woronora,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Woronora Heights,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Yagoona,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Yarramundi,32.84,Clouds,28.69,Clouds,23.72,Clouds,29.8,Clouds,26.12,Clouds
Yarrawarrah,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Yennora,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Yowie Bay,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Zetland,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
