suburb,forecast_22Nov,condition_22Nov,forecast_23Nov,condition_23Nov,forecast_23Nov,condition_23Nov,forecast_24Nov,condition_24Nov,forecast_25Nov,condition_25Nov
Chippendale,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Chipping Norton,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Chiswick,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Chullora,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Church Point,23.34,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Claremont Meadows,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Clarendon,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Clareville,23.34,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Claymore,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Clemton Park,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Clontarf,22.9,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Clovelly,22.9,Clouds,20.38,Clouds,19.61,Clouds,21.84,Clouds,26.91,Clouds
Clyde,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Coasters Retreat,23.34,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Cobbitty,31.78,Clouds,29.82,Clouds,24.14,Clouds,33.09,Clouds,30.16,Clouds
Colebee,29,Clouds,30.15,Clouds,25.99,Clouds,34.96,Clouds,27.39,Clouds
Collaroy,23.37,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Collaroy Plateau,23.37,Clear,21.22,Clouds,20.29,Clouds,22.33,Clouds,25,Clouds
Colyton,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Como,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
Concord,24.33,Clouds,25.67,Clouds,24.1,Clouds,30.38,Clouds,30.29,Clouds
