suburb,current_temp,pressure,humidity
Seven Hills,28.9,1018,39
Shalvey,24.24,1012,51
Shanes Park,24.24,1012,51
Silverwater,23.73,1012,69
Singletons Mill,24.23,1012,51
Smeaton Grange,24.32,1013,82
Smithfield,24.24,1013,82
South Coogee,24.29,1012,51
South Granville,24.24,1013,82
South Hurstville,24.41,1012,51
South Maroota,24.24,1012,51
South Penrith,24.24,1012,51
South Turramurra,24.41,1012,51
South Wentworthville,24.24,1013,82
South Windsor,24.24,1012,51
Spring Farm,24.32,1013,82
St Andrews,17.51,1016,48
St Clair,24.24,1012,51
St Helens Park,24.32,1013,82
St Ives,24.42,1012,51
St Ives Chase,24.41,1012,51
St Johns Park,24.24,1013,82
St Leonards,24.29,1012,51
St Marys,13.71,1013,57
St Peters,24.41,1012,51
Stanhope Gardens,24.24,1012,51
Stanmore,24.41,1012,51
Strathfield,24.27,1012,51
Strathfield South,24.41,1012,51
Summer Hill,29.22,1022,33
Surry Hills,24.29,1012,51
Sutherland,24.41,1012,51
Sydenham,17.3,1016,48
Sydney,24.15,1013,82
Sydney Olympic Park,24.41,1012,51
Sylvania,24.41,1012,51
Sylvania Waters,24.41,1012,51
Tamarama,24.42,1012,51
Taren Point,24.41,1012,51
Telopea,24.24,1013,82
Tempe,24.41,1012,51
Tennyson,28.9,1018,39
Tennyson Point,24.41,1012,51
Terrey Hills,24.4,1012,51
The Ponds,24.12,1012,51
The Rocks,23.97,1013,82
The Slopes,24.24,1012,51
Thornleigh,24.41,1012,51
Toongabbie,24.11,1012,51
Tregear,24.12,1012,51
Turramurra,24.41,1012,51
Turrella,24.41,1012,51
Ultimo,24.29,1012,51
Varroville,24.32,1013,82
Vaucluse,24.42,1012,51
Villawood,24.24,1013,82
Vineyard,24.24,1012,51
Voyager Point,24.24,1013,82
Wahroonga,24.41,1012,51
Waitara,24.41,1012,51
Wakeley,24.24,1013,82
Wallacia,24.32,1012,51
Wareemba,24.41,1012,51
Warrawee,24.41,1012,51
Warriewood,24.4,1012,51
Warwick Farm,24.24,1013,82
Waterfall,24.5,1012,51
Waterloo,24.42,1012,51
Watsons Bay,24.42,1012,51
Wattle Grove,24.24,1013,82
Waverley,24.42,1012,51
Waverton,24.27,1012,51
Wedderburn,18.92,1016,32
Wentworth Point,24.41,1012,51
Wentworthville,24.24,1013,82
Werrington,24.24,1012,51
Werrington County,24.24,1012,51
Werrington Downs,24.24,1012,51
West Hoxton,24.24,1013,82
West Pennant Hills,24.24,1013,82
West Pymble,24.41,1012,51
West Ryde,24.41,1012,51
Westleigh,24.41,1012,51
Westmead,24.24,1013,82
Wetherill Park,24.24,1013,82
Whalan,24.24,1012,51
Whale Beach,24.4,1012,51
Wheeler Heights,24.42,1012,51
Wilberforce,24.24,1012,51
Wiley Park,24.41,1012,51
Willmot,24.24,1012,51
Willoughby,24.42,1012,51
Willoughby East,24.42,1012,51
Windsor,24.24,1012,51
Windsor Downs,24.24,1012,51
Winston Hills,24.24,1013,82
Wisemans Ferry,24.26,1012,51
Wolli Creek,24.39,1012,51
Wollstonecraft,24.39,1012,51
Woodbine,24.29,1013,82
Woodcroft,24.21,1012,51
Woodpark,24.21,1013,82
Woollahra,24.39,1012,51
Woolloomooloo,24.27,1012,51
Woolooware,24.39,1012,51
Woolwich,24.39,1012,51
Woronora,24.39,1012,51
Woronora Heights,24.39,1012,51
Yagoona,24.21,1013,82
Yarramundi,24.21,1012,51
Yarrawarrah,24.39,1012,51
Yennora,24.21,1013,82
Yowie Bay,24.39,1012,51
Zetland,24.39,1012,51
