id,suburb,fuel_code,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019
10087,Bronte,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10088,Brooklyn,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10089,Brookvale,LPG,0.0,63.9,64.9,0.0,0.0,70.4,70.4,0.0,0.0,0.0,0.0,64.89999999999999,64.9,67.67777777777776,78.23333333333333,74.9,86.9,0.0,0.0,81.4,0.0,78.9,82.75714285714285,79.9,0.0,0.0,83.3,83.9,81.66666666666667,78.23333333333333,75.9,0.0,0.0,0.0,75.6,0.0,74.7,74.3,75.9
10090,Bundeena,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10091,Bungarribee,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10092,Burraneer,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10093,Burwood,LPG,53.4,54.779999999999994,55.4,63.5,0.0,73.22222222222221,68.23333333333333,65.75,67.7,65.8,65.5,64.9875,64.28987341772145,68.75185185185188,71.7,74.4,86.90000000000002,0.0,79.9,78.23333333333333,77.4,0.0,79.67999999999999,79.9,79.2,82.39999999999999,84.4,83.9,82.88333333333333,72.4,0.0,0.0,78.53333333333333,72.9,72.9,79.8,71.4,0.0,0.0
10094,Burwood Heights,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10095,Busby,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10096,Cabarita,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10097,Cabramatta,LPG,59.7,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10098,Cabramatta West,LPG,0.0,0.0,0.0,65.9,0.0,0.0,75.9,0.0,69.9,0.0,0.0,65.9,0.0,69.9,74.9,0.0,79.9,0.0,0.0,75.4,0.0,0.0,79.9,0.0,0.0,85.9,89.9,79.9,75.9,0.0,0.0,0.0,79.9,0.0,0.0,0.0,0.0,69.9,73.9
10099,Caddens,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10100,Cambridge Gardens,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10101,Cambridge Park,LPG,57.4,57.9,0.0,61.4,0.0,0.0,0.0,67.9,66.4,64.9,63.9,59.9,0.0,69.9,74.9,74.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10102,Camden,LPG,55.9,0.0,57.9,65.9,0.0,69.9,74.9,73.9,71.9,69.9,68.7,66.89999999999999,66.89999999999999,68.23333333333332,74.9,79.9,84.9,0.0,0.0,79.9,0.0,0.0,0.0,0.0,0.0,0.0,82.9,80.9,79.9,80.9,0.0,0.0,83.9,0.0,0.0,0.0,0.0,0.0,85.9
10103,Camden South,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10104,Camellia,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10105,Cammeray,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10106,Campbelltown,LPG,59.53333333333333,0.0,0.0,64.91333333333333,62.5,74.55999999999999,73.62857142857142,69.9846153846154,67.9,65.9,65.9,65.15000000000005,65.84716981132088,69.32456140350884,75.52499999999999,76.9,85.89999999999999,84.9,84.39999999999999,79.90000000000002,76.60833333333332,79.9,84.53636363636362,93.06666666666666,78.4,83.89999999999999,89.9,84.9,82.48333333333332,81.9,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0
10107,Camperdown,LPG,0.0,0.0,0.0,59.9,0.0,72.9,67.9,67.75,65.8,65.7,0.0,0.0,0.0,64.06470588235297,74.4,0.0,0.0,0.0,0.0,0.0,74.60000000000001,73.9,0.0,0.0,74.85,82.4,85.4,83.7,76.58333333333334,0.0,72.5,0.0,0.0,0.0,0.0,0.0,69.8,0.0,0.0
10108,Campsie,LPG,0.0,0.0,0.0,59.9,0.0,68.9,69.9,67.9,65.9,0.0,0.0,63.9,0.0,65.9,71.4,72.9,74.9,76.9,0.0,74.9,72.9,0.0,74.9,0.0,74.9,76.56666666666668,81.4,79.4,74.9,69.9,0.0,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10109,Canada Bay,LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
