id,suburb,fuel_code,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019
10010,Annandale,E10,107.15652173913045,115.83750000000003,114.50000000000003,116.31666666666668,127.5,127.22727272727275,134.05714285714285,119.67777777777776,125.27499999999999,127.45555555555555,119.82857142857145,114.50000000000003,117.38571428571433,124.31785714285719,131.45000000000002,135.13333333333335,136.5875,138.725,137.175,132.76666666666665,151.4,149.23333333333332,150.85000000000002,141.50000000000003,146.6142857142857,154.9,161.7888888888889,141.9,136.525,129.9,129.4,138.15,148.9,145.9,153.4,149.1,146.34444444444446,157.9,151.18571428571428
10011,Annangrove,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,Arcadia,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10013,Arncliffe,E10,108.11923076923078,110.54035087719299,111.75918367346937,110.90344827586209,122.65000000000002,126.25200000000007,124.63076923076925,115.09310344827591,122.02333333333337,119.2526315789474,115.41999999999994,112.73589743589746,119.0101694915253,122.32678571428562,126.45945945945948,131.14390243902434,131.5028571428571,133.12727272727273,131.1636363636364,127.51538461538465,138.46250000000003,141.62500000000006,141.3878787878788,136.69749999999996,141.62325581395342,152.85517241379313,151.335294117647,129.32682926829264,125.19696969696973,121.32500000000005,123.59999999999998,132.75714285714284,139.4166666666667,138.95714285714288,135.79230769230773,138.6846153846154,139.85555555555558,140.00769230769234,143.70444444444436
10014,Arndell Park,E10,106.0444444444445,113.85454545454552,109.32222222222225,110.86666666666669,121.1923076923077,124.37307692307697,123.83571428571432,117.32380952380956,120.72916666666667,120.24000000000005,119.22954545454537,110.5594594594595,116.04500000000003,123.65217391304344,127.93636363636368,131.1555555555556,129.04814814814821,128.02000000000007,133.6208333333334,125.32307692307698,138.57368421052638,143.09047619047624,139.8677419354839,137.25151515151515,142.61153846153852,149.83571428571432,150.54000000000002,128.91379310344834,126.88000000000005,129.15,128.01250000000002,143.23333333333335,143.98333333333332,142.02000000000004,136.99090909090913,140.23333333333335,141.51818181818183,143.75,144.8818181818182
10015,Artarmon,E10,109.4666666666666,116.69599999999996,118.85116279069764,119.93000000000006,127.30000000000003,129.97500000000005,134.35833333333338,120.74210526315794,128.5944444444445,127.2846153846154,120.42941176470592,120.28000000000006,120.10999999999993,127.8692307692306,132.99722222222223,135.45000000000007,136.3214285714286,138.73333333333338,136.42631578947373,134.90000000000006,146.3565217391305,149.54333333333338,147.91612903225808,143.85749999999993,151.32857142857148,154.5071428571429,157.55517241379312,135.07241379310352,131.62580645161296,127.9666666666667,132.5666666666667,140.8,143.15,151.025,148.8,147.5666666666667,147.4,150.15,157.7888888888889
10016,Ashbury,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10017,Ashcroft,E10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10018,Ashfield,E10,107.08918918918926,112.37619047619049,114.3878048780488,111.70000000000006,120.59230769230771,125.31379310344833,128.68571428571434,116.00714285714291,122.46428571428577,121.40000000000006,116.82857142857141,112.08571428571435,116.69807692307684,123.72258064516114,124.13684210526317,128.70937499999997,128.73611111111106,129.59999999999997,130.70869565217396,127.50625000000007,134.82000000000005,139.852380952381,139.5578947368421,137.0818181818182,142.58571428571426,149.98333333333338,149.7709677419355,128.29534883720925,124.13061224489788,124.3117647058824,128.9,136.15,138.60000000000002,134.3444444444445,134.15000000000003,139.23333333333338,137.50000000000003,137.71538461538464,151.04285714285717
10019,Asquith,E10,114.51538461538463,115.59230769230771,123.96153846153848,124.97999999999999,125.9,135.06666666666666,134.56666666666666,124.23333333333332,127.64999999999999,130.6142857142857,124.56666666666666,118.4,125.0666666666667,130.82857142857148,136.17272727272731,141.7,142.9,143.9,139.3666666666667,138.08181818181822,145.9,150.23333333333332,150.55000000000004,145.50000000000003,150.8166666666667,160.06666666666666,165.5,147.42941176470592,137.5666666666667,126.18571428571428,132.65,149.9,150.5666666666667,151.7,154.73333333333332,150.06666666666666,143.34444444444446,151.65,161.3
